"","::1","asd-Chathura-PC","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36","http://localhost/heroku-test/","Sun 28th Jul,2019 10:23 pm"
"","::1","test1-Chathura-PC","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36","http://localhost/heroku-test/","Mon 29th Jul,2019 10:28 am"
